Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8, C9",0805,16,C,
"J1, J2, J3, J4, J5, J6, J7, J8",CONN_B2B-PH-K-SLFSN_JST,8,B2B-PH-K-SLFSN,
"L1, L2, L3, L4, L5, L6, L7, L8",IND_1537R_API,8,L,
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,0,
"S1, S2, S3, S4, S5, S6, S7, S8",HJ-SMA993,8,SMA_CONNECTOR,
